,shareCount
1826,0
1827,0
1828,0
1829,0
1830,0
1831,1
1832,0
1833,0
1834,0
1835,0
1836,1
1837,1
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,1
1854,0
1855,0
1856,0
1857,0
1858,1
1859,0
1860,0
1861,0
1862,0
1863,0
1864,6
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,1
1876,0
1877,0
1878,0
1879,7
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,1
1887,0
1888,0
1889,3
1890,3
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,1
1898,0
1899,0
1900,1
1901,0
1902,2
1903,0
1904,0
1905,0
1906,0
1907,7
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,1
1916,0
1917,14
1918,5
1919,1
1920,1
1921,0
1922,0
1923,1
1924,0
1925,0
1926,0
1927,0
1928,6
1929,1
1930,4
1931,0
1932,2
1933,0
1934,0
1935,0
1936,0
1937,0
1938,3
1939,0
1940,0
1941,6
1942,0
1943,0
1944,0
1945,0
1946,1
1947,0
1948,0
1949,0
1950,1
1951,0
1952,0
1953,0
1954,0
1955,14
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,1
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,1
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,2
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,2
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,2
2016,0
2017,0
2018,1
2019,0
2020,0
2021,3
2022,0
2023,0
2024,1
2025,0
2026,0
2027,1
2028,4
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,1
2037,1
2038,0
2039,0
2040,0
2041,0
2042,0
2043,3
2044,0
2045,1
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,1
2077,0
2078,0
2079,1
2080,0
2081,0
2082,0
2083,0
2084,0
2085,1
2086,0
2087,0
2088,0
2089,0
2090,0
2091,1
2092,7
2093,1
2094,0
2095,0
2096,1
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,1
2108,2
2109,0
2110,0
2111,0
2112,1
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,5
2120,0
2121,0
2122,0
2123,1
2124,1
2125,0
2126,0
2127,0
2128,0
2129,0
2130,4
2131,1
2132,0
2133,1
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,2
2142,0
2143,0
2144,3
2145,0
2146,1
2147,0
2148,0
2149,0
2150,1
2151,1
2152,1
2153,0
2154,0
2155,2
2156,0
2157,1
2158,1
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,2
2169,0
2170,3
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,2
2181,0
2182,0
2183,1
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,1
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,1
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,1
2217,0
2218,0
2219,0
2220,1
2221,0
2222,0
2223,0
2224,0
2225,0
2226,1
2227,0
2228,0
2229,0
2230,0
2231,0
2232,1
2233,0
2234,0
2235,0
2236,0
2237,1
2238,0
2239,0
2240,0
2241,1
2242,2
2243,0
2244,2
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,2
2252,0
2253,0
2254,0
2255,0
2256,2
2257,1
2258,0
2259,1
2260,0
2261,1
2262,1
2263,0
2264,1
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,2
2281,0
2282,2
2283,0
2284,1
2285,1
2286,0
2287,0
2288,1
2289,1
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,1
2306,1
2307,0
2308,0
2309,5
2310,2
2311,0
2312,0
2313,0
2314,1
2315,0
2316,0
2317,0
2318,0
2319,1
2320,0
2321,0
2322,0
2323,0
2324,3
2325,0
2326,2
2327,0
2328,0
2329,0
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,7
2337,0
2338,1
2339,0
2340,0
2341,1
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,1
2349,0
2350,1
2351,0
2352,0
2353,1
2354,1
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,1
2366,0
2367,0
2368,0
2369,0
2370,0
2371,0
2372,1
2373,0
2374,0
2375,0
2376,0
2377,1
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,1
2385,0
2386,0
2387,0
2388,0
2389,0
2390,0
2391,0
2392,0
2393,1
2394,0
2395,0
2396,0
2397,0
2398,0
2399,1
2400,0
2401,0
2402,0
2403,0
2404,0
2405,2
2406,0
2407,0
2408,1
2409,0
2410,1
2411,0
2412,0
2413,0
2414,0
2415,0
2416,1
2417,1
2418,1
2419,2
2420,2
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,1
2431,0
2432,1
2433,0
2434,0
2435,0
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,2
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,1
2459,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,3
2466,0
2467,0
2468,0
2469,2
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,1
2479,1
2480,0
2481,0
2482,0
2483,1
2484,0
2485,0
2486,0
2487,1
2488,0
2489,0
2490,0
2491,0
2492,0
2493,0
2494,1
2495,1
2496,0
2497,3
2498,0
2499,0
2500,0
2501,0
2502,1
2503,0
2504,1
2505,1
2506,1
2507,0
2508,1
2509,0
2510,0
2511,1
2512,7
2513,0
2514,0
2515,1
2516,0
2517,0
2518,0
2519,1
2520,0
2521,0
2522,0
2523,0
2524,0
2525,1
2526,0
2527,0
2528,1
2529,0
2530,0
2531,0
2532,1
2533,0
2534,0
2535,0
2536,0
2537,0
2538,1
2539,0
2540,0
2541,0
2542,2
2543,0
2544,0
2545,1
2546,2
2547,0
2548,1
2549,0
2550,0
2551,0
2552,2
2553,1
2554,0
2555,0
2556,1
2557,1
2558,0
2559,0
2560,0
2561,0
2562,2
2563,0
2564,0
2565,0
2566,0
2567,0
2568,1
2569,0
2570,0
2571,0
2572,1
2573,0
2574,0
2575,0
2576,1
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,3
2590,0
2591,0
2592,0
2593,0
2594,0
2595,1
2596,0
2597,0
2598,0
2599,0
2600,2
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,0
2610,0
2611,2
2612,4
2613,0
2614,0
2615,1
2616,0
2617,10
2618,553
2619,3
2620,129
2621,3
2622,85
2623,154
2624,200
2625,17
2626,203
2627,704
2628,169
2629,23
2630,242
2631,4
2632,48
2633,161
2634,33
2635,352
2636,29
2637,189
2638,53
2639,172
2640,62
2641,211
2642,14
2643,599
2644,14
2645,610
2646,7
2647,42
2648,252
2649,264
2650,5
2651,127
2652,463
2653,228
2654,538
2655,6
2656,178
2657,1322
2658,125
2659,105
2660,74
2661,29
2662,600
2663,59
2664,194
2665,3
2666,22
2667,396
2668,5
2669,8
2670,9
2671,323
2672,276
2673,52
2674,333
2675,368
2676,24
2677,534
2678,36
2679,103
2680,38
2681,4
2682,189
2683,21
2684,734
2685,252
2686,645
2687,99
2688,895
2689,118
2690,11
2691,229
2692,2
2693,73
2694,404
2695,6
2696,19
2697,74
2698,303
2699,139
2700,24
2701,527
2702,15
2703,33
2704,17
2705,256
2706,5
2707,164
2708,148
2709,9
2710,4
2711,15
2712,11
2713,18
2714,18
2715,10
2716,17
2717,761
2718,154
2719,776
2720,279
2721,102
2722,357
2723,19
2724,71
2725,1718
2726,987
2727,23
2728,640
2729,128
2730,17
2731,160
2732,29
2733,17
2734,488
2735,180
2736,18
2737,348
2738,160
2739,3
2740,12
2741,317
2742,12
2743,413
2744,44
2745,146
2746,84
2747,13
2748,18
2749,53
2750,97
2751,5
2752,22
2753,25
2754,207
2755,135
2756,162
2757,106
2758,272
2759,11
2760,126
2761,111
2762,245
2763,127
2764,49
2765,23
2766,375
2767,399
2768,362
2769,687
2770,63
2771,1649
2772,9
2773,28
2774,260
2775,18
2776,370
2777,176
2778,168
2779,19
2780,66
2781,1839
2782,103
2783,88
2784,122
2785,67
2786,141
2787,44
2788,1540
2789,23
2790,236
2791,56
2792,44
2793,133
2794,21
2795,100
2796,960
2797,53
2798,107
2799,442
2800,38
2801,65
2802,22
2803,85
2804,142
2805,73
2806,153
2807,206
2808,47
2809,106
2810,269
2811,1100
2812,41
2813,29
2814,1330
2815,30
2816,230
2817,20
2818,35
2819,42
2820,515
2821,1960
2822,238
2823,4
2824,32
2825,837
2826,769
2827,37
2828,201
2829,56
2830,2109
2831,547
2832,54
2833,120
2834,111
2835,214
2836,207
2837,18
2838,456
2839,250
2840,525
2841,350
2842,267
2843,128
2844,21
2845,57
2846,59
2847,843
2848,208
2849,13
2850,173
2851,6
2852,553
2853,302
2854,11
2855,1373
2856,340
2857,386
2858,37
2859,298
2860,64
2861,87
2862,4
2863,525
2864,18
2865,461
2866,338
2867,304
2868,261
2869,307
2870,414
2871,36
2872,951
2873,402
2874,3
2875,181
2876,501
2877,127
2878,341
2879,30
2880,280
2881,35
2882,38
2883,91
2884,310
2885,485
2886,178
2887,90
2888,300
2889,309
2890,11
2891,471
2892,8
2893,41
2894,128
2895,29
2896,187
2897,757
2898,168
2899,31
2900,139
2901,272
2902,115
2903,2265
2904,769
2905,220
2906,1666
2907,278
2908,60
2909,162
2910,13
2911,127
2912,7
2913,417
2914,59
2915,7
2916,90
2917,1001
2918,121
2919,161
2920,40
2921,123
2922,75
2923,117
2924,268
2925,45
2926,129
2927,95
2928,553
2929,100
2930,41
2931,227
2932,225
2933,265
2934,131
2935,7
2936,87
2937,158
2938,250
2939,121
2940,17
2941,297
2942,901
2943,599
2944,341
2945,91
2946,163
2947,264
2948,214
2949,83
2950,373
2951,314
2952,222
2953,346
2954,780
2955,735
2956,27
2957,68
2958,4
2959,231
2960,17
2961,456
2962,104
2963,102
2964,241
2965,191
2966,221
2967,0
2968,2
2969,2
2970,3
2971,2
2972,2
2973,0
2974,1
2975,0
2976,1
2977,1
2978,1
2979,0
2980,1
2981,2
2982,0
2983,1
2984,0
2985,1
2986,1
2987,1
